1209,12,09,Simalungun,Sumatera Utara
1212,12,12,Deli Serdang,Sumatera Utara
1275,12,75,Kota Medan,Sumatera Utara
1371,13,71,Kota Padang,Sumatera Barat
1506,15,06,Tanjung Jabung Timur,Jambi
1671,16,71,Kota Palembang,Sumatera Selatan
1705,17,05,Seluma,Bengkulu
1808,18,08,Tulang Bawang,Lampung
3175,31,75,Kota Jakarta Utara,DKI Jakarta
3201,32,01,Bogor,Jawa Barat
3203,32,03,Cianjur,Jawa Barat
3204,32,04,Bandung,Jawa Barat
3213,32,13,Subang,Jawa Barat
3216,32,16,Bekasi,Jawa Barat
3279,32,79,Kota Banjar,Jawa Barat
3305,33,05,Kebumen,Jawa Tengah
3326,33,26,Pekalongan,Jawa Tengah
3374,33,74,Kota Semarang,Jawa Tengah
3506,35,06,Kediri,Jawa Timur
3514,35,14,Pasuruan,Jawa Timur
3515,35,15,Sidoarjo,Jawa Timur
3518,35,18,Nganjuk,Jawa Timur
3525,35,25,Gresik,Jawa Timur
3601,36,01,Pandeglang,Banten
3603,36,03,Tangerang,Banten
5320,53,20,Sabu Raijua,Nusa Tenggara Timur
6204,62,04,Barito Selatan,Kalimantan Tengah
6571,65,71,Kota Tarakan,Kalimantan Utara
7302,73,02,Bulukumba,Sulawesi Selatan
7371,73,71,Kota Makassar,Sulawesi Selatan
7415,74,15,Buton Selatan,Sulawesi Tenggara
